x y u_11 u_12 u_13 u_21 u_22 u_23 u_31 u_32 u_33
74 25 0.243355 0.258603 -0.934824 0.878384 0.350012 0.325478 0.411384 -0.90034 -0.141974
119 115 -0.879996 -0.258801 -0.398284 0.438326 -0.119455 -0.890841 0.182975 -0.958516 0.21856
122 72 -0.661091 -0.312066 -0.682329 0.206016 -0.949946 0.23486 -0.721471 0.014692 0.692289
100 193 0.778859 -0.553877 0.294278 -0.245536 0.162481 0.955672 -0.577145 -0.816589 -0.009444
169 77 -0.386494 0.922163 -0.015569 -0.877959 -0.362682 0.312484 0.282517 0.134441 0.949793
165 199 0.650094 0.663592 -0.370169 -0.425821 -0.085317 -0.900768 -0.62934 0.743216 0.2271
90 143 0.129472 -0.079792 -0.988366 0.697216 0.716079 0.033517 0.705079 -0.693439 0.148346
154 149 0.851145 0.358585 0.383365 -0.458535 0.863408 0.21043 -0.255539 -0.354899 0.899299
41 53 -0.102917 0.399798 -0.910802 -0.987761 -0.148993 0.046212 -0.117237 0.904416 0.410233
79 76 0.314883 -0.190779 -0.929754 -0.108372 -0.980412 0.164473 -0.942928 0.04897 -0.329388
139 108 0.728914 -0.680302 -0.076651 0.1643 0.065143 0.984253 -0.664599 -0.730035 0.159258
20 91 -0.763885 0.463351 -0.449198 0.166238 -0.531268 -0.83073 -0.623589 -0.709255 0.3288
126 61 0.144763 0.127733 -0.981187 0.60738 -0.79429 -0.013784 -0.781111 -0.593961 -0.192561
140 190 0.903673 0.318869 0.285823 -0.397097 0.873831 0.280605 -0.160287 -0.367082 0.916273
35 156 -0.676168 -0.193432 -0.710898 0.232166 -0.971703 0.043592 -0.699225 -0.135573 0.701928
63 147 0.438305 -0.479323 -0.760354 0.874905 0.033651 0.483123 -0.205985 -0.876993 0.434112
69 11 -0.159927 0.964475 0.210273 -0.981767 -0.133224 -0.135607 -0.102776 -0.228119 0.96819
152 73 0.294609 -0.811953 -0.503917 0.951562 0.200697 0.232934 -0.087998 -0.54813 0.83175
107 117 -0.826734 -0.021506 -0.562181 0.513388 0.379876 -0.769498 0.230104 -0.924788 -0.303018
42 137 -0.297278 -0.95324 0.054375 -0.139174 0.099589 0.985238 -0.944602 0.285335 -0.162275
77 20 0.243958 0.257396 -0.934994 0.878463 0.349801 0.325497 0.41086 -0.900771 -0.140778
4 91 -0.183847 0.841688 -0.507722 -0.98289 -0.163371 0.08508 -0.011336 0.514699 0.857284
146 152 0.852841 0.355696 0.382287 -0.454937 0.865504 0.209609 -0.256319 -0.352679 0.899954
168 41 0.74238 -0.378052 0.553122 0.634615 0.661484 -0.399636 -0.214798 0.647705 0.730985
37 57 0.104645 -0.400349 -0.910366 0.987839 0.147718 0.04859 0.115024 -0.904375 0.410941
88 51 -0.154701 0.92443 -0.348571 -0.969291 -0.073747 0.2346 0.191165 0.37416 0.907444
48 182 -0.052295 0.08847 -0.994704 0.98632 0.160504 -0.037583 0.15633 -0.983063 -0.095652
103 53 0.98522 -0.081696 -0.150567 0.115525 0.965868 0.231844 0.126486 -0.245809 0.961029
46 58 0.101039 -0.399298 -0.91123 0.987871 0.148845 0.044313 0.117946 -0.904661 0.409489
113 6 0.194451 0.979603 -0.050595 0.020358 -0.055597 -0.998243 -0.980707 0.193085 -0.030752
95 30 0.161969 0.344537 -0.924692 -0.469697 -0.797193 -0.379304 -0.867843 0.495763 0.032711
84 168 0.749078 -0.616388 -0.242784 0.405713 0.137109 0.903659 -0.52372 -0.775413 0.352781
49 81 0.922842 0.269215 0.27549 0.102404 0.518 -0.849228 -0.371328 0.811905 0.450463
93 9 -0.302137 -0.012411 -0.953183 -0.014001 -0.999748 0.017452 -0.953164 0.018616 0.301889
15 76 0.194847 0.586595 0.786089 0.007226 0.800573 -0.599191 -0.980809 0.122433 0.151756
75 107 -0.920081 -0.321104 -0.224376 0.220684 0.048357 -0.974145 0.323651 -0.945809 0.026369
100 101 0.414985 -0.194478 -0.888802 0.644735 -0.626404 0.438091 -0.641961 -0.754843 -0.13456
177 83 -0.03323 -0.645356 -0.763154 0.157488 -0.75742 0.633653 -0.986964 -0.099134 0.126803
123 104 -0.880204 -0.25811 -0.398272 0.438322 -0.12035 -0.890724 0.181973 -0.95859 0.219068
126 109 -0.880062 -0.258296 -0.398466 0.438528 -0.120167 -0.890647 0.182169 -0.958563 0.219024
102 158 -0.243505 -0.619609 -0.746178 0.904783 0.13207 -0.40491 0.349434 -0.773702 0.528455
176 157 0.378287 -0.544493 -0.748618 0.734746 -0.315313 0.600603 -0.563072 -0.777242 0.280791
117 63 0.151432 -0.985137 -0.081059 -0.233907 -0.115394 0.965385 -0.960398 -0.127232 -0.247901
184 164 -0.597045 -0.387301 -0.702524 -0.099934 -0.833006 0.544161 -0.795962 0.395089 0.458638
135 167 -0.294036 -0.46161 -0.836929 -0.08213 -0.860214 0.503286 -0.952262 0.216714 0.215014
111 33 -0.524699 0.287789 0.801167 -0.089624 0.917221 -0.388169 -0.846561 -0.275472 -0.455466
157 29 0.376889 0.549107 -0.745941 -0.662969 -0.402494 -0.631244 -0.64686 0.732455 0.212347
73 75 -0.193943 0.92928 -0.31435 -0.979578 -0.166093 0.113364 0.053137 0.329911 0.942514
162 61 0.422188 0.883081 -0.20477 -0.180548 -0.139449 -0.973628 -0.888351 0.448018 0.10056
178 149 0.423982 0.443417 -0.789696 0.282464 0.763713 0.580478 0.860498 -0.469177 0.198545
146 176 0.884261 0.172228 -0.434086 -0.458092 0.500645 -0.734512 0.090822 0.84834 0.521592
219 136 0.835847 0.471078 0.281873 -0.296255 -0.045222 0.954034 0.462171 -0.880933 0.101758
73 202 -0.336354 0.491254 -0.803454 -0.443262 -0.835331 -0.325176 -0.830897 0.246766 0.498715
23 46 0.512673 -0.832888 0.208479 -0.297975 0.055132 0.952975 -0.805221 -0.550694 -0.219922
131 185 0.049527 0.662421 -0.747484 -0.988854 0.137762 0.056565 0.140446 0.736355 0.66186
183 86 -0.996749 -0.019444 0.078219 -0.080602 0.244642 -0.966255 -0.000351 -0.969417 -0.245418
84 170 0.749162 -0.616528 -0.242178 0.405389 0.137595 0.903729 -0.52385 -0.775218 0.353013
198 108 -0.107981 -0.90046 -0.421335 0.536804 0.303941 -0.787053 0.836777 -0.311159 0.450533
131 137 -0.872213 0.482268 0.081638 -0.026698 0.119726 -0.992442 -0.488398 -0.867811 -0.09154
39 77 -0.401342 -0.339325 -0.850751 0.818325 -0.550079 -0.166642 -0.411455 -0.763062 0.498435
149 169 0.866602 -0.275291 0.416199 -0.495925 -0.382605 0.779524 -0.05535 -0.881954 -0.468083
22 84 -0.803392 0.231169 -0.548748 -0.350408 -0.928642 0.121805 -0.481436 0.290145 0.827065
101 187 0.779118 -0.5546 0.292231 -0.242146 0.163742 0.956323 -0.57823 -0.815844 -0.006723
38 51 0.909297 -0.402759 0.104728 -0.047734 0.149055 0.987674 -0.413405 -0.903089 0.116308
188 81 0.842692 -0.529697 -0.096406 0.085034 -0.045873 0.995321 -0.531643 -0.846944 0.006386
88 136 0.081929 0.988276 0.128835 -0.718783 -0.030956 0.694544 0.690391 -0.149508 0.70782
169 193 -0.288002 0.910591 0.296457 -0.811036 -0.396533 0.430093 0.509198 -0.116566 0.852716
89 215 0.062737 -0.47825 -0.875977 0.422017 -0.782668 0.457525 -0.904416 -0.398387 0.152733
198 48 -0.986994 0.043805 0.154713 0.087148 -0.662901 0.74361 0.13513 0.747421 0.650462
179 33 -0.411612 0.911214 -0.016228 -0.204307 -0.109612 -0.972751 -0.888164 -0.397081 0.231282
